'Zeta5Local.bernoulliFunctional_binomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.newton_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.integerValued_lipschitz' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.rationalTauFunctional_integerValued_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.reducedInverseProduct_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.factorial_ratio_balanced_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.smallPrimeQuotient_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.smallPrimeTauPolynomial_coeff_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.smallPrimeQ_binomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.denominator_binomial' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.smallPrimeF_integerValued' depends on axioms: [propext, Classical.choice, Quot.sound]
'Zeta5Local.smallPrime_entry_coeff_norm' depends on axioms: [propext, Classical.choice, Quot.sound]
